team,league,matches_played,avg_yellows_per_game,avg_reds_per_game,avg_fouls_per_game,yellow_trend,aggression_index,home_yellow_avg,away_yellow_avg,away_card_premium,last_match_date,days_since_last,matches_last_21d,matches_last_7d
Ponferradina,Segunda,168.0,2.399,0.119,13.607,0.2089,0.4696,2.405,2.393,-0.012,2023-05-28,1099,0,0
Pontevedra,Segunda,,,,,,,,,,2005-06-18,7652,0,0
Pordenone,SerieB,114.0,2.588,0.132,15.781,-0.1885,0.6142,2.772,2.404,-0.368,2022-05-06,1486,0,0
Port Vale,Championship,,,,,,,,,,2000-05-07,9520,0,0
Portogruaro,SerieB,,,,,,,,,,2011-05-29,5481,0,0
Portsmouth,Championship,576.0,1.717,0.08,12.519,0.3978,0.3232,1.561,1.872,0.311,2026-05-02,29,0,0
Preston,Championship,995.0,1.697,0.08,12.389,0.1193,0.314,1.475,1.921,0.446,2026-05-02,29,0,0
PreuÃen MÃ¼nster,Bundesliga2,68.0,2.882,0.088,13.662,-0.1673,0.5176,2.853,2.912,0.059,2026-05-17,14,2,0
Pro Vercelli,SerieB,42.0,2.143,0.071,15.262,0.0267,0.5197,2.19,2.095,-0.095,2018-05-18,2935,0,0
QPR,Championship,1022.0,1.714,0.087,12.323,0.6333,0.314,1.533,1.895,0.361,2026-05-02,29,0,0
Quevilly Rouen,Ligue2,113.0,1.761,0.115,15.027,0.306,0.4765,1.772,1.75,-0.022,2024-05-17,744,0,0
RB Leipzig,Bundesliga,340.0,1.712,0.059,11.685,-0.0653,0.2707,1.459,1.965,0.506,2026-05-16,15,1,0
RW Essen,Bundesliga2,,,,,,,,,,1994-06-11,11677,0,0
Raith Rvs,ScottishPrem,,,,,,,,,,1997-05-10,10613,0,0
Rangers,ScottishPrem,781.0,1.529,0.095,11.881,-0.0188,0.2712,1.201,1.855,0.654,2026-05-16,15,3,0
Ravenna,SerieB,,,,,,,,,,2008-06-01,6573,0,0
Rayo Majadahonda,Segunda,41.0,2.829,0.073,14.61,0.0603,0.56,2.8,2.857,0.057,2019-06-08,2549,0,0
Reading,Championship,929.0,1.433,0.064,11.116,0.5355,0.2096,1.28,1.586,0.307,2023-05-08,1119,0,0
Real Madrid,LaLiga,798.0,2.142,0.133,12.82,-0.1595,0.4014,1.912,2.371,0.459,2026-05-23,8,4,0
Real Madrid B,Segunda,,,,,,,,,,2014-06-07,4376,0,0
Real Union,Segunda,,,,,,,,,,2010-06-19,5825,0,0
Recreativo,Segunda,114.0,2.298,0.167,17.789,0.1748,0.703,2.281,2.316,0.035,2015-06-07,4011,0,0
Red Star,Ligue2,105.0,1.848,0.076,13.295,-0.134,0.3796,1.962,1.731,-0.231,2026-05-09,22,0,0
Red Star 93,Ligue2,,,,,,,,,,1999-05-29,9864,0,0
