match_date,league,home_team,away_team,home_result_momentum,home_score_momentum,home_elo_momentum,home_scoring_trend,home_concession_trend,home_streak,away_result_momentum,away_score_momentum,away_elo_momentum,away_scoring_trend,away_concession_trend,away_streak,momentum_diff,actual_result
2020-10-01,LaLiga,Celta,Barcelona,0.537415,0.530612,0.0,0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.6,-0.005329,0.0
2020-10-02,Bundesliga,Union Berlin,Mainz,0.208333,0.425,0.0,0.0,0.0,0.5,0.0,0.2375,0.0,0.0,0.0,0.3,0.099306,1.0
2020-10-02,Ligue1,Paris SG,Angers,0.850104,0.665441,0.0,0.7,0.3,0.8,0.646079,0.4678,-0.070641,0.5,-0.6,0.6,0.295384,1.0
2020-10-02,SerieA,Fiorentina,Sampdoria,0.375,0.475,0.0,0.0,0.0,0.4,0.0,0.325,0.0,0.0,0.0,0.3,0.104167,0.0
2020-10-03,LaLiga,Sociedad,Getafe,0.363971,0.536765,0.0,0.0,-0.0,0.4,0.795918,0.671429,0.0,1.0,-0.0,0.6,-0.294435,1.0
2020-10-03,LaLiga,Valencia,Betis,0.650735,0.549265,0.0,-0.9,0.7,0.6,0.264706,0.377574,0.0,-0.3,-1.0,0.3,0.326287,0.0
2020-10-03,LaLiga,Elche,Huesca,0.625,0.45,0.0,0.0,0.0,0.6,0.278186,0.466912,0.0,-0.2,0.4,0.5,0.038317,0.5
2020-10-03,SerieA,Udinese,Roma,0.0,0.3375,0.0,0.0,0.0,0.3,0.333333,0.5,0.0,0.0,0.0,0.5,-0.115972,0.0
2020-10-03,LaLiga,Valladolid,Eibar,0.125,0.420956,0.0,-0.2,0.1,0.4,0.033088,0.409926,0.0,0.0,-0.3,0.2,0.083824,0.0
2020-10-03,Bundesliga,RB Leipzig,Schalke 04,0.583333,0.575,0.0,0.0,0.0,0.5,0.0,0.075,0.0,0.0,0.0,0.3,0.213889,1.0
2020-10-03,Bundesliga,Werder Bremen,Bielefeld,0.625,0.5125,0.0,0.0,0.0,0.6,0.75,0.5625,0.0,0.0,0.0,0.6,-0.029167,1.0
2020-10-03,Bundesliga,FC Koln,M'gladbach,0.0,0.4,0.0,0.0,0.0,0.3,0.208333,0.3875,0.0,0.0,0.0,0.5,-0.065972,0.0
2020-10-03,Bundesliga,Ein Frankfurt,Hoffenheim,0.75,0.625,0.0,0.0,0.0,0.6,1.0,0.725,0.0,0.0,0.0,0.7,-0.075,1.0
2020-10-03,SerieA,Sassuolo,Crotone,0.75,0.6875,0.0,0.0,0.0,0.6,0.0,0.2625,0.0,0.0,0.0,0.3,0.245833,1.0
2020-10-03,LaLiga,Ath Madrid,Villarreal,0.583333,0.6875,0.0,0.0,0.0,0.5,0.658088,0.498162,0.0,0.4,-0.3,0.6,-0.014236,0.5
2020-10-03,Bundesliga,Stuttgart,Leverkusen,0.625,0.65,0.0,0.0,0.0,0.6,0.333333,0.5,0.0,0.0,0.0,0.5,0.090278,0.5
