date,match,league,outcome,odds,stake,won,pnl,cumulative_pnl,bankroll
2026-01-26,Everton vs Leeds,EPL,H,2.5,0.0,0,-0.0,-1000.0,0.0
2026-01-27,Werder Bremen vs Hoffenheim,Bundesliga,H,3.7,0.0,0,-0.0,-1000.0,0.0
2026-01-30,Sociedad B vs Las Palmas,Segunda,A,2.55,0.0,0,-0.0,-1000.0,0.0
2026-01-30,Rodez vs Red Star,Ligue2,H,2.63,0.0,0,-0.0,-1000.0,0.0
2026-01-30,Bastia vs Nancy,Ligue2,H,2.05,0.0,0,-0.0,-1000.0,0.0
2026-01-30,Laval vs Pau FC,Ligue2,H,3.25,0.0,0,-0.0,-1000.0,0.0
2026-01-30,Lazio vs Genoa,SerieA,H,2.2,0.0,1,0.0,-1000.0,0.0
2026-01-30,Bari vs Palermo,SerieB,H,4.5,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Lorient vs Nantes,Ligue1,H,1.83,0.0,1,0.0,-1000.0,0.0
2026-01-31,Livingston vs Motherwell,ScottishPrem,A,1.76,0.0,1,0.0,-1000.0,0.0
2026-01-31,Osasuna vs Villarreal,LaLiga,A,2.55,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Kilmarnock vs Aberdeen,ScottishPrem,H,3.1,0.0,1,0.0,-1000.0,0.0
2026-01-31,Braunschweig vs Karlsruhe,Bundesliga2,A,3.1,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Empoli vs Modena,SerieB,H,3.6,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Portsmouth vs West Brom,Championship,H,3.2,0.0,1,0.0,-1000.0,0.0
2026-01-31,Millwall vs Sheffield United,Championship,H,2.45,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Avellino vs Cesena,SerieB,H,3.3,0.0,1,0.0,-1000.0,0.0
2026-01-31,Oxford vs Birmingham,Championship,H,3.4,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Stoke vs Southampton,Championship,H,2.85,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Paris FC vs Marseille,Ligue1,A,1.9,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Venezia vs Carrarese,SerieB,D,5.0,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Cagliari vs Verona,SerieA,H,2.2,0.0,1,0.0,-1000.0,0.0
2026-01-31,Napoli vs Fiorentina,SerieA,H,1.8,0.0,1,0.0,-1000.0,0.0
2026-01-31,Ipswich vs Preston,Championship,D,4.75,0.0,1,0.0,-1000.0,0.0
2026-01-31,Ipswich vs Preston,Championship,A,8.0,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Leicester vs Charlton,Championship,H,2.1,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Blackburn vs Hull,Championship,A,3.2,0.0,1,0.0,-1000.0,0.0
2026-01-31,Werder Bremen vs M'gladbach,Bundesliga,H,2.45,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Virtus Entella vs Frosinone,SerieB,A,2.2,0.0,0,-0.0,-1000.0,0.0
2026-01-31,Sampdoria vs Spezia,SerieB,A,3.8,0.0,0,-0.0,-1000.0,0.0
