match_date,league,home_team,away_team,outcome,p_model,odds,implied_prob,edge,EV,kelly_fraction,half_kelly,actual_result,won,profit_flat,profit_kelly,clv
2024-03-30,Bundesliga,Werder Bremen,Wolfsburg,H,0.424,2.88,0.3472,0.0932,0.2212,0.1177,0.0588,A,0,-1.0,-0.0588,0.1998
2024-03-30,Bundesliga,Bayern Munich,Dortmund,A,0.226,6.0,0.1667,0.068,0.356,0.0712,0.0356,A,1,5.0,0.178,0.3046
2024-03-31,Ligue1,Clermont,Toulouse,H,0.3881,3.1,0.3226,0.0813,0.2032,0.0967,0.0484,A,0,-1.0,-0.0484,0.1849
2024-03-31,Bundesliga2,Wehen,Osnabruck,H,0.5448,2.05,0.4878,0.0808,0.1169,0.1114,0.0557,A,0,-1.0,-0.0557,0.1106
2024-03-31,LaLiga,Alaves,Sociedad,A,0.4519,2.38,0.4202,0.052,0.0755,0.0547,0.0273,A,1,1.38,0.0377,0.0728
2024-03-31,Ligue1,Lorient,Brest,H,0.2876,4.2,0.2381,0.0617,0.2079,0.065,0.0325,A,0,-1.0,-0.0325,0.1889
2024-03-31,Ligue1,Nice,Nantes,H,0.6302,1.75,0.5714,0.0848,0.1029,0.1372,0.0686,A,0,-1.0,-0.0686,0.0979
2024-03-31,Bundesliga,Stuttgart,Heidenheim,D,0.2201,6.0,0.1667,0.0638,0.3206,0.0641,0.0321,D,1,5.0,0.1603,0.2781
2024-03-31,Bundesliga,Stuttgart,Heidenheim,A,0.1565,10.0,0.1,0.0627,0.5645,0.0627,0.0314,D,0,-1.0,-0.0314,0.4476
2024-03-31,LaLiga,Real Madrid,Ath Bilbao,H,0.6766,1.53,0.6536,0.0548,0.0352,0.0663,0.0332,H,1,0.53,0.0176,0.0346
2024-04-01,SerieB,Cosenza,Brescia,A,0.3277,3.6,0.2778,0.0644,0.1797,0.0691,0.0346,A,1,2.6,0.0899,0.1653
2024-04-01,SerieA,Inter,Empoli,H,0.8397,1.22,0.8197,0.056,0.0245,0.1113,0.0556,H,1,0.22,0.0122,0.0242
2024-04-01,SerieB,Parma,Catanzaro,H,0.6765,1.7,0.5882,0.1247,0.15,0.2143,0.1072,A,0,-1.0,-0.1072,0.1398
2024-04-01,SerieB,Modena,Bari,A,0.2912,4.0,0.25,0.0576,0.1647,0.0549,0.0274,D,0,-1.0,-0.0274,0.1525
