team,elo_rating,matches_played,last_match_date,confederation
Guernsey,1704.11,240,2023-07-13,Other / Non-FIFA
Slovakia,1699.97,367,2026-06-05,UEFA
Costa Rica,1697.13,724,2026-06-10,CONCACAF
Panama,1694.57,542,2026-06-27,CONCACAF
Uzbekistan,1694.42,357,2026-06-27,AFC
Saudi Arabia,1682.15,744,2026-06-26,AFC
Georgia,1680.97,307,2026-06-05,UEFA
Romania,1680.54,766,2026-06-06,UEFA
South Africa,1676.1,484,2026-06-28,CAF
Catalonia,1670.94,48,2019-03-25,Other / Non-FIFA
Mali,1670.81,569,2026-06-04,CAF
Cape Verde,1667.31,239,2026-07-03,CAF
Jordan,1665.4,488,2026-06-27,AFC
Iraq,1660.64,658,2026-06-26,AFC
Isle of Man,1659.83,58,2025-07-18,Other / Non-FIFA
Israel,1659.54,498,2026-06-03,UEFA
Bolivia,1649.11,534,2026-06-10,CONMEBOL
Padania,1647.67,45,2019-06-08,Other / Non-FIFA
Bosnia and Herzegovina,1645.94,287,2026-07-01,UEFA
Occitania,1645.43,33,2014-12-30,Other / Non-FIFA
United Arab Emirates,1642.7,612,2025-12-15,AFC
Ghana,1639.26,675,2026-07-03,CAF
Tunisia,1638.63,681,2026-06-25,CAF
Honduras,1636.36,620,2026-06-06,CONCACAF
Ynys Môn,1634.48,67,2025-07-17,Other / Non-FIFA
New Zealand,1634.01,419,2026-06-26,OFC
Albania,1629.49,398,2026-06-06,UEFA
Northern Cyprus,1629.42,34,2018-06-09,Other / Non-FIFA
Burkina Faso,1626.54,464,2026-06-09,CAF
Northern Ireland,1625.9,707,2026-06-08,UEFA
Isle of Wight,1623.74,48,2023-07-13,Other / Non-FIFA
Jamaica,1622.88,663,2026-06-06,CONCACAF
North Macedonia,1609.1,306,2026-06-01,UEFA
Iceland,1605.25,522,2026-06-09,UEFA
Andalusia,1603.74,13,2013-06-07,Other / Non-FIFA
Haiti,1602.35,513,2026-06-24,CONCACAF
Iraqi Kurdistan,1600.16,27,2016-06-04,Other / Non-FIFA
Abkhazia,1596.58,33,2019-06-08,Other / Non-FIFA
Kernow,1594.95,12,2023-07-16,Other / Non-FIFA
Guatemala,1585.78,554,2026-06-07,CONCACAF
Finland,1582.25,818,2026-06-05,UEFA
Oman,1574.05,543,2026-06-05,AFC
Angola,1572.34,415,2026-06-09,CAF
